ticker,action,soft_decision,price,signal_strength,exp_30d_return,confidence,decision,prob_2pct,prob_5pct_30d,prob_10pct,prob_direction,tau,pi_low,pi_high,pi_width,reason,atr_pct,size,stop,target1,dma200,adx14,mom_60,gates_pass,gates_reason,actionable,model_agreement
GOOGL,BUY,LONG,317.62,68.3,0.0894,0.5182,UNSURE,0.674,0.5182,0.3109,0.68,0.6204,-0.0733,0.2522,0.3255,low confidence (0.52 < tau 0.62),0.0311,0.0149,297.87,349.38,0.5532,19.73,0.328,True,,False,0.7
BAC,BUY,LONG,54.16,66.8,0.0738,0.5442,UNSURE,0.707,0.5442,0.3265,0.65,0.6204,-0.0889,0.2365,0.3255,low confidence (0.54 < tau 0.62),0.0178,0.0189,52.23,59.58,0.1696,42.58,0.0804,True,,False,0.7
UNH,AVOID,LONG,333.49,64.7,0.0722,0.5083,UNSURE,0.661,0.5083,0.3050,0.64,0.6204,-0.0905,0.2349,0.3255,low confidence (0.51 < tau 0.62),0.0262,0.0140,316.03,366.84,-0.0731,21.85,-0.0323,False,Price below DMA200,False,0.7
CSCO,BUY,LONG,77.76,64.4,0.0698,0.5324,UNSURE,0.692,0.5324,0.3194,0.64,0.6204,-0.0929,0.2325,0.3255,low confidence (0.53 < tau 0.62),0.0221,0.0148,74.32,85.54,0.1826,31.24,0.1482,True,,False,0.7
PG,AVOID,LONG,145.36,63.6,0.0671,0.5385,UNSURE,0.700,0.5385,0.3231,0.63,0.6204,-0.0956,0.2298,0.3255,low confidence (0.54 < tau 0.62),0.0161,0.0224,140.68,159.90,-0.0740,30.58,-0.0697,False,Price below DMA200,False,0.7
V,AVOID,LONG,327.10,52.4,0.0339,0.5685,UNSURE,0.739,0.5685,0.3411,0.57,0.6204,-0.1288,0.1966,0.3255,low confidence (0.57 < tau 0.62),0.0167,0.0087,316.15,359.81,-0.0488,37.62,-0.0307,False,Price below DMA200,False,0.7
HD,AVOID,LONG,351.17,51.5,0.0324,0.5780,UNSURE,0.752,0.5780,0.3468,0.56,0.6204,-0.1303,0.1951,0.3255,low confidence (0.58 < tau 0.62),0.0248,0.0055,333.72,386.29,-0.0530,52.61,-0.1447,False,Price below DMA200,False,0.7
JPM,AVOID,LONG,316.10,50.6,0.0246,0.5316,UNSURE,0.691,0.5316,0.3190,0.55,0.6204,-0.1381,0.1874,0.3255,low confidence (0.53 < tau 0.62),0.0206,0.0056,303.09,347.71,0.1395,33.06,0.0569,False,Expected move too small,False,0.7
AMZN,AVOID,LONG,229.11,50.1,0.0221,0.5573,UNSURE,0.725,0.5573,0.3344,0.54,0.6204,-0.1406,0.1848,0.3255,low confidence (0.56 < tau 0.62),0.0244,0.0051,217.94,252.02,0.0668,50.04,-0.0053,False,Expected move too small,False,0.7
DIS,AVOID,LONG,105.47,48.7,0.0140,0.5558,UNSURE,0.723,0.5558,0.3335,0.53,0.6204,-0.1487,0.1767,0.3255,low confidence (0.56 < tau 0.62),0.0213,0.0029,100.98,116.02,-0.0368,36.31,-0.0891,False,Price below DMA200,False,0.7
MSFT,AVOID,LONG,480.84,47.5,0.0080,0.5262,UNSURE,0.684,0.5262,0.3157,0.52,0.6204,-0.1547,0.1707,0.3255,low confidence (0.53 < tau 0.62),0.0210,0.0020,460.69,528.92,0.0275,77.58,-0.0372,False,Expected move too small,False,0.7
TSLA,AVOID,LONG,454.53,47.3,-0.0004,0.5777,UNSURE,0.751,0.5777,0.3466,0.50,0.6204,-0.1632,0.1623,0.3255,low confidence (0.58 < tau 0.62),0.0373,0.0001,488.44,409.08,0.3287,41.24,0.3069,False,Expected move too small,False,0.7
AAPL,AVOID,SHORT,280.70,46.1,-0.0258,0.5322,UNSURE,0.692,0.5322,0.3193,0.45,0.6204,-0.1885,0.1369,0.3255,low confidence (0.53 < tau 0.62),0.0206,0.0067,292.28,252.63,0.2335,9.08,0.2389,False,ADX too low,False,0.7
CVX,AVOID,SHORT,152.26,44.6,-0.0290,0.5499,UNSURE,0.715,0.5499,0.3299,0.44,0.6204,-0.1917,0.1337,0.3255,low confidence (0.55 < tau 0.62),0.0157,0.0083,157.03,137.03,0.0311,23.62,-0.0243,False,Expected move too small,False,0.7
MA,AVOID,SHORT,542.31,44.0,-0.0326,0.5258,UNSURE,0.684,0.5258,0.3155,0.43,0.6204,-0.1954,0.1301,0.3255,low confidence (0.53 < tau 0.62),0.0193,0.0089,563.21,488.08,-0.0294,31.66,-0.0627,False,Price below DMA200,False,0.7
XOM,AVOID,SHORT,117.14,43.0,-0.0427,0.5943,UNSURE,0.773,0.5943,0.3566,0.41,0.6204,-0.2055,0.1200,0.3255,low confidence (0.59 < tau 0.62),0.0189,0.0092,121.57,105.43,0.0737,8.34,0.0504,False,ADX too low,False,0.7
WMT,SELL,SHORT,114.84,42.9,-0.0580,0.5365,UNSURE,0.698,0.5365,0.3219,0.38,0.6204,-0.2207,0.1047,0.3255,low confidence (0.54 < tau 0.62),0.0217,0.0124,119.83,103.36,0.1728,28.69,0.1437,True,,False,0.7
JNJ,SELL,SHORT,202.48,42.7,-0.0692,0.5812,UNSURE,0.756,0.5812,0.3487,0.36,0.6204,-0.2319,0.0936,0.3255,low confidence (0.58 < tau 0.62),0.0145,0.0278,208.34,182.23,0.2063,66.81,0.1591,True,,False,0.7
NVDA,SELL,SHORT,183.38,42.3,-0.0670,0.5550,UNSURE,0.721,0.5550,0.3330,0.37,0.6204,-0.2297,0.0957,0.3255,low confidence (0.55 < tau 0.62),0.0375,0.0099,197.14,165.04,0.1869,67.80,0.0342,True,,False,0.7
META,AVOID,SHORT,661.53,40.2,-0.0905,0.6036,UNSURE,0.785,0.6036,0.3622,0.32,0.6204,-0.2532,0.0722,0.3255,low confidence (0.60 < tau 0.62),0.0227,0.0241,691.55,595.38,-0.0141,51.84,-0.1197,False,Price below DMA200,False,0.7
